Number,X Coordinate,Y Coordinate,Force Value,S1,S2,S3,S4,S5,S6,S7,S8
1,22.0,8.0,48.657,0.001377327,0.01606644,0.019468725,0.001174177,0.016601383,0.042166018,0.004582407,0.022645063
2,22.0,8.0,99.746,0.00107748,0.026177112,0.049640068,0.001080423,0.028194254,0.07864217,0.007981804,0.038987286
3,22.0,8.0,132.693,0.000709228,0.030768056,0.081193253,0.000949733,0.034118525,0.109081079,0.01005133,0.048683209
4,11.0,8.0,74.236,0.001485047,0.063903878,0.017520073,0.001440749,0.065016142,0.028042119,0.02012015,0.030519605
5,11.0,8.0,123.97,0.001316558,0.097109546,0.026971281,0.001535967,0.097541698,0.040009403,0.027170762,0.045384808
6,11.0,8.0,148.09,0.001110969,0.11119047,0.034544615,0.001626843,0.109188304,0.047545994,0.030431299,0.051241636
7,0.0,7.5,59.152,0.005543521,0.074332186,0.005580904,0.003770376,0.082727946,0.011253615,0.302646416,0.013675767
8,0.0,7.5,109.79,0.008541992,0.144516637,0.00699256,0.006565045,0.137715673,0.01344765,0.313987456,0.020918974
9,0.0,7.5,139.401,0.009761038,0.197071936,0.008113585,0.008355179,0.168780544,0.015334801,0.316511088,0.026039024
10,-11.5,7.5,104.473,-0.321317229,0.054998841,0.00170087,0.041193373,0.055835347,0.006609101,-0.42317657,0.007255952
11,-11.5,7.5,134.292,-0.311812732,0.066623157,0.001691551,0.054362762,0.06796868,0.006720719,-0.418334347,0.00884504
12,-11.5,7.5,177.631,-0.298243578,0.087185413,0.002055289,0.079959099,0.088548704,0.007145082,-0.221935314,0.011095339
13,-21.0,8.0,121.016,0.12506506,0.034274144,0.010614605,0.082388539,0.031094004,0.012068818,0.031270824,0.008910784
14,-21.0,8.0,146.943,0.154348883,0.033736901,0.009272337,0.094040942,0.03167526,0.011186904,0.034587622,0.008517195
15,-21.0,8.0,209.049,0.233108419,0.036526551,0.008833623,0.144799614,0.036202255,0.010912895,0.048126679,0.009252245
16,26.5,4.0,75.8,0.029204714,0.03035118,0.031079067,0.011835023,0.026690059,0.06411671,0.015430905,0.029692471
17,26.5,4.0,123.066,0.027021726,0.033861501,0.050983714,0.010172699,0.030420212,0.108875076,0.015781547,0.043672348
18,26.5,4.0,150.801,0.025665853,0.036119677,0.071525985,0.009243446,0.032787051,0.144170094,0.016447446,0.052145225
19,17.0,4.0,76.46,0.02322052,0.044955888,0.032374743,0.007626425,0.046922902,0.058428557,0.02524116,0.052155364
20,17.0,4.0,123.657,0.022619005,0.059868621,0.055595435,0.007208104,0.065189904,0.100758269,0.030341527,0.086377144
21,17.0,4.0,152.156,0.021729293,0.068583687,0.079236725,0.006516291,0.07652196,0.141736207,0.033174286,0.110614186
22,7.0,4.0,85.253,0.022061878,0.104783572,0.01846459,0.00653533,0.138133102,0.029111799,0.194449541,0.037731533
23,7.0,4.0,120.46,0.023053852,0.158631789,0.021777829,0.00765614,0.195702335,0.033567221,0.133766388,0.050048155
24,7.0,4.0,149.028,0.02388171,0.214658956,0.024916898,0.008988718,0.252594711,0.037761986,0.144731841,0.061661354
25,-6.5,4.0,59.743,0.027142542,0.05861378,0.009135417,0.010144135,0.068994783,0.014683301,0.092568653,0.012486636
26,-6.5,4.0,106.94,0.03763864,0.09609813,0.00955319,0.020316557,0.109606077,0.01510765,0.139806797,0.016074922
27,-6.5,4.0,138.15,0.044617711,0.13874045,0.010177741,0.02941779,0.147299168,0.015804071,0.16210309,0.019545047
28,-16.0,4.0,73.054,0.058336439,0.036748452,0.009245336,0.06741929,0.036543258,0.012971543,0.03947436,0.007741341
29,-16.0,4.0,125.117,0.12006991,0.043495671,0.008987772,0.141577679,0.044929641,0.012594691,0.066093235,0.008911077
30,-16.0,4.0,154.38,0.168239354,0.047345966,0.008996162,0.18978015,0.05019656,0.012541647,0.082406058,0.009793805
31,-26.5,4.0,67.667,0.039903129,0.017705471,0.011774267,0.047660325,0.016281276,0.011322932,0.006127854,0.007333859
